1,000097233;0,057183627
0,993294416;0,07010597
0,986491709;0,077809751
0,979688954;0,082444236
0,972886172;0,085410453
0,966083428;0,087338313
0,959280609;0,08877752
0,952477865;0,089804433
0,945675121;0,090545036
0,938872458;0,09117493
0,932069792;0,091812454
0,925267027;0,092106402
0,918464234;0,09259887
0,911661545;0,092953898
0,904858844;0,093377642
0,898056097;0,093652502
0,891253412;0,093969367
0,884450747;0,09426713
0,877648057;0,094729051
0,870845323;0,095030636
0,864042522;0,095244423
0,857239712;0,095603272
0,850436977;0,095958292
0,843634303;0,096362956
0,836831601;0,096859232
0,830028921;0,097229533
0,823226159;0,09774109
0,816423443;0,098267898
0,809620856;0,098798536
0,802818125;0,099371165
0,796015357;0,1000965
0,789212582;0,10095544
0,782409698;0,1020778
0,775606922;0,10324597
0,768804174;0,10475771
0,762001416;0,10660921
0,755198601;0,10910206
0,748395938;0,11198048
0,741593181;0,11556896
0,73479044;0,11927196
0,727987747;0,1226581
0,721185081;0,12551363
0,714382296;0,12778506
0,707579608;0,1295373
0,700776851;0,1308658
0,693974121;0,13179347
0,687171345;0,1325646
0,680368657;0,13314487
0,673566001;0,13380912
0,666763324;0,13420233
0,659960631;0,13465661
0,653157933;0,13506509
0,646355183;0,13545448
0,639552407;0,13588585
0,632749555;0,13632487
0,625946758;0,13683261
0,619144072;0,1373747
0,612341293;0,13788624
0,605538522;0,13853522
0,598735848;0,13919947
0,591933248;0,14000879
0,585130434;0,14088301
0,578327618;0,14197101
0,571524882;0,14317353
0,564722196;0,14453638
0,557919429;0,14621228
0,551116699;0,14817068
0,544313952;0,15038484
0,537511253;0,153164
0,530708527;0,15650818
0,523905782;0,16038296
0,517103045;0,16413559
0,510300318;0,16734996
0,503497597;0,17067502
0,496694902;0,17427114
0,489892136;0,17844371
0,483089443;0,1834714
0,476286722;0,18874721
0,469484068;0,19341987
0,462681342;0,19780622
0,455878645;0,20233381
0,449076005;0,20749129
0,442273352;0,21294655
0,435470573;0,21729091
0,428667908;0,21936764
0,421865194;0,22079539
0,415062415;0,22207808
0,408259611;0,22352493
0,401456816;0,22510156
0,394654015;0,22741118
0,38785125;0,23098056
0,381048541;0,23760016
0,374245712;0,24580786
0,367442906;0,25074011
0,360640101;0,25491649
0,353837336;0,25969985
0,347034542;0,26483062
0,340231806;0,27008736
0,333429002;0,27554643
0,326626241;0,2808719
0,319823469;0,28635004
0,313020653;0,29209542
0,30621793;0,29788661
0,29941516;0,30389163
0,292612374;0,31000727
0,285809635;0,31638259
0,279006913;0,32290292
0,272204157;0,32968664
0,265401422;0,33679491
0,258598708;0,34429637
0,251796036;0,35215667
0,244993196;0,36022311
0,238190459;0,36873236
0,231387784;0,37744397
0,224585029;0,38659078
0,217782299;0,39566889
0,210979581;0,40487292
0,204176951;0,41399685
0,197374224;0,42289552
0,190571471;0,43171781
0,183768799;0,44008967
0,176966143;0,44845006
0,170163372;0,45661193
0,163360682;0,46466312
0,156558036;0,47282118
0,149755405;0,48109379
0,142952656;0,4896794
0,136149859;0,49866968
0,129347205;0,50832039
0,122544502;0,51870793
0,115741858;0,53001159
0,108939186;0,54254079
0,102136618;0,55621135
0,095334014;0,57115698
0,088531314;0,58745402
0,081728629;0,6055491
0,074925963;0,62525147
0,068123271;0,64704955
0,061320541;0,67148173
0,05451782;0,69926196
0,047715281;0,73131007
0,040912777;0,76911509
0,034110306;0,81434518
0,027307818;0,86897409
0,020505276;0,93570834
0,013702556;1,0182261
0,006899861;1,1217576
9,72335E-05;1,251966
