Ewe/V,Capacity/mA.h
5.05E-01,0.034318252
5.03E-01,0.034458321
5.03E-01,0.034598389
5.02E-01,0.034738457
5.01E-01,0.034878528
4.99E-01,0.035018597
4.98E-01,0.035158667
4.97E-01,0.035298735
4.96E-01,0.0354388
4.95E-01,0.035578866
4.94E-01,0.035718927
4.93E-01,0.035858988
4.92E-01,0.035999049
4.92E-01,0.036139112
4.91E-01,0.03627918
4.90E-01,0.03641925
4.89E-01,0.036559318
4.88E-01,0.036699384
4.87E-01,0.036839449
4.86E-01,0.036979518
4.85E-01,0.037119588
4.84E-01,0.037259662
4.83E-01,0.037399733
4.82E-01,0.037539799
4.81E-01,0.037679864
4.80E-01,0.037819929
4.79E-01,0.037959989
4.78E-01,0.038100046
4.77E-01,0.0382401
4.76E-01,0.038380155
4.75E-01,0.038520212
4.74E-01,0.038660268
4.73E-01,0.038800329
4.72E-01,0.038940388
4.72E-01,0.039080451
4.71E-01,0.039220512
4.70E-01,0.039360573
4.69E-01,0.039500641
4.68E-01,0.039640701
4.67E-01,0.039780762
4.66E-01,0.039920826
4.65E-01,0.040060889
4.64E-01,0.040200946
4.63E-01,0.040341005
4.63E-01,0.040481068
4.62E-01,0.040621132
4.61E-01,0.040761197
4.60E-01,0.040901259
4.59E-01,0.041041317
4.58E-01,0.041181371
4.57E-01,0.041321425
4.56E-01,0.04146148
4.56E-01,0.041601533
4.55E-01,0.041741582
4.54E-01,0.041881634
4.53E-01,0.042021685
4.52E-01,0.042161736
4.51E-01,0.042301786
4.51E-01,0.042441837
4.50E-01,0.042581891
4.49E-01,0.042721941
4.48E-01,0.042861992
4.47E-01,0.043002045
4.46E-01,0.0431421
4.46E-01,0.043282155
4.45E-01,0.04342221
4.44E-01,0.043562268
4.43E-01,0.043702328
4.42E-01,0.043842382
4.42E-01,0.043982433
4.41E-01,0.044122485
4.40E-01,0.044262537
4.39E-01,0.04440259
4.38E-01,0.04454264
4.38E-01,0.044682693
4.37E-01,0.044822751
4.36E-01,0.044962805
4.35E-01,0.045102864
4.34E-01,0.045242925
4.34E-01,0.045382994
4.33E-01,0.045523069
4.32E-01,0.04566315
4.31E-01,0.045803231
4.30E-01,0.045943313
4.30E-01,0.046083398
4.29E-01,0.046223483
4.28E-01,0.046363569
4.27E-01,0.046503656
4.27E-01,0.046643743
4.26E-01,0.046783834
4.25E-01,0.046923928
4.24E-01,0.047064024
4.24E-01,0.047204118
4.23E-01,0.04734421
4.22E-01,0.047484301
4.21E-01,0.047624392
4.21E-01,0.047764482
4.20E-01,0.047904576
4.19E-01,0.048044668
4.18E-01,0.048184761
4.18E-01,0.048324853
4.17E-01,0.048464947
4.16E-01,0.048605044
4.16E-01,0.048745139
4.15E-01,0.048885232
4.14E-01,0.049025323
4.14E-01,0.049165419
4.13E-01,0.049305515
4.12E-01,0.049445611
4.11E-01,0.049585707
4.11E-01,0.049725805
4.10E-01,0.049865904
4.09E-01,0.050006003
4.09E-01,0.050146104
4.08E-01,0.050286198
4.07E-01,0.050426293
4.07E-01,0.05056639
4.06E-01,0.050706488
4.05E-01,0.050846586
4.05E-01,0.050986682
4.04E-01,0.051126779
4.03E-01,0.051266876
4.03E-01,0.051406975
4.02E-01,0.051547071
4.01E-01,0.051687165
4.01E-01,0.051827257
4.00E-01,0.051967349
4.00E-01,0.05210744
3.99E-01,0.052247527
3.98E-01,0.052387612
3.98E-01,0.052527694
3.97E-01,0.052667785
3.96E-01,0.052807879
3.96E-01,0.052947972
3.95E-01,0.05308806
3.95E-01,0.05322815
3.94E-01,0.053368238
3.93E-01,0.053508329
3.93E-01,0.05364842
3.92E-01,0.053788511
3.92E-01,0.0539286
3.91E-01,0.054068689
3.90E-01,0.054208781
3.90E-01,0.05434887
3.89E-01,0.054488961
3.89E-01,0.054629056
3.88E-01,0.054769152
3.87E-01,0.054909247
3.87E-01,0.055049345
3.86E-01,0.055189443
3.86E-01,0.055329539
3.85E-01,0.055469634
3.84E-01,0.055609729
3.84E-01,0.055749829
3.83E-01,0.055889927
3.83E-01,0.056030024
3.82E-01,0.056170124
3.82E-01,0.056310224
3.81E-01,0.056450326
3.80E-01,0.056590425
3.80E-01,0.056730523
3.79E-01,0.056870624
3.79E-01,0.057010722
3.78E-01,0.057150821
3.78E-01,0.05729092
3.77E-01,0.057431022
3.77E-01,0.057571125
3.76E-01,0.057711225
3.76E-01,0.057851323
3.75E-01,0.057991419
3.74E-01,0.058131514
3.74E-01,0.058271615
3.74E-01,0.058411719
3.73E-01,0.058551819
3.72E-01,0.05869192
3.72E-01,0.058832022
3.71E-01,0.058972123
3.71E-01,0.05911222
3.70E-01,0.059252319
3.70E-01,0.059392422
3.69E-01,0.059532521
3.69E-01,0.05967262
3.68E-01,0.059812719
3.68E-01,0.059952818
3.67E-01,0.060092916
3.67E-01,0.060233013
3.66E-01,0.060373107
3.66E-01,0.060513201
3.65E-01,0.060653295
3.65E-01,0.060793391
3.64E-01,0.060933484
3.64E-01,0.061073581
3.63E-01,0.061213679
3.63E-01,0.061353778
3.62E-01,0.061493875
3.62E-01,0.061633972
3.61E-01,0.061774067
3.61E-01,0.061914162
3.61E-01,0.062054257
3.60E-01,0.062194352
3.60E-01,0.06233445
3.59E-01,0.062474546
3.59E-01,0.062614638
3.58E-01,0.062754732
3.58E-01,0.062894825
3.57E-01,0.063034923
3.57E-01,0.063175022
3.56E-01,0.063315121
3.56E-01,0.063455217
3.56E-01,0.063595317
3.55E-01,0.063735415
3.55E-01,0.063875512
3.54E-01,0.064015606
3.54E-01,0.0641557
3.54E-01,0.064295795
3.53E-01,0.064435893
3.53E-01,0.064575993
3.52E-01,0.064716092
3.52E-01,0.064856189
3.51E-01,0.064996284
3.51E-01,0.06513638
3.51E-01,0.065276474
3.50E-01,0.065416566
3.50E-01,0.065556663
3.49E-01,0.065696759
3.49E-01,0.065836854
3.49E-01,0.065976949
3.48E-01,0.066117042
3.48E-01,0.066257138
3.47E-01,0.066397235
3.47E-01,0.066537334
3.47E-01,0.066677434
3.46E-01,0.06681753
3.46E-01,0.066957624
3.45E-01,0.067097718
3.45E-01,0.067237815
3.44E-01,0.067377915
3.44E-01,0.067518014
3.44E-01,0.067658116
3.43E-01,0.067798217
3.43E-01,0.067938317
3.43E-01,0.068078416
3.42E-01,0.068218514
3.42E-01,0.068358614
3.42E-01,0.068498715
3.41E-01,0.068638817
3.41E-01,0.068778917
3.40E-01,0.068919017
3.40E-01,0.069059116
3.40E-01,0.069199213
3.39E-01,0.069339315
3.39E-01,0.069479414
3.39E-01,0.069619514
3.38E-01,0.069759613
3.38E-01,0.069899717
3.38E-01,0.070039818
3.37E-01,0.070179919
3.37E-01,0.070320015
3.37E-01,0.070460112
3.36E-01,0.070600209
3.36E-01,0.070740306
3.36E-01,0.070880405
3.35E-01,0.071020507
3.35E-01,0.07116061
3.35E-01,0.071300712
3.34E-01,0.071440812
3.34E-01,0.071580908
3.34E-01,0.071721004
3.33E-01,0.071861094
3.33E-01,0.072001189
