Ewe,capacity_norm
1.3732171,0.0
1.2693192,0.00015817651755800687
1.2342451,0.0003163526664381174
1.2083216,0.0004745283791810356
1.1868492,0.0006327039750459506
1.1677265,0.0007908799373535717
1.1506861,0.000949055758663537
1.1352314,0.0011072316262594627
1.1208847,0.0012654074869634991
1.1073211,0.00142358353754347
1.0947893,0.0015817602361764764
1.0826776,0.0017399371369409208
1.0712919,0.001898113848869654
1.0600972,0.0020562906689526542
1.0495902,0.0022144669954871662
1.0392743,0.002372643260374184
1.0293214,0.0025308196771826556
1.0197887,0.0026889958475305484
1.0103325,0.002847171902601144
1.0012774,0.003005348266993931
0.99231786,0.0031635257983169767
0.98351109,0.003321702779414796
0.97499096,0.0034798800514587477
0.96677643,0.003638057356079406
0.95869565,0.0037962352264574906
0.95067215,0.003954413384235546
0.94301164,0.004112591060543745
0.93559945,0.004270768765944502
0.9282828,0.004428946121351473
0.92100435,0.004587123116285324
0.91401243,0.004745300295218443
0.90711606,0.004903477715930439
0.90048712,0.005061655107726268
0.89385825,0.005219832614250044
0.88749677,0.005378010165721366
0.88128811,0.0055361875670991816
0.87513673,0.005694364788272192
0.86917645,0.00585254180653561
0.86336899,0.006010718388929876
0.85744691,0.006168895421811113
0.85219342,0.006327072611269298
0.84672982,0.006485249947810263
0.84141904,0.006643427331424869
0.83620375,0.006801604683213279
0.83112222,0.006959782696002637
0.82623172,0.007117960733588959
0.82132208,0.0072761391637205216
0.8165462,0.007434316617665322
0.81186587,0.007592494154652123
0.80726188,0.007750671715275248
0.80279166,0.007908849386005048
0.79841697,0.00806702758390167
0.79408044,0.008225205626474759
0.78982037,0.008383384173799772
0.78573221,0.008541562660074362
0.78149122,0.008699740997539937
0.77742219,0.008857919023000007
0.77350593,0.009016097273561603
0.76957059,0.00917427569263752
0.76561618,0.009332454315287939
0.76187187,0.009490632656696635
0.7581085,0.009648811041228094
0.75455523,0.009806989563615037
0.75075364,0.00996516756472086
0.74733412,0.010123345126407873
0.74378085,0.010281522650197392
0.74041861,0.010439699876158347
0.73724741,0.01059787774242807
0.73394251,0.010756054815852876
0.73067582,0.010914232637645023
0.72744733,0.01107241086568286
0.72444808,0.011230589163392486
0.72131509,0.011388767158127273
0.71829671,0.011546945256615102
0.71545029,0.011705123267684062
0.71252745,0.011863301397377728
0.70960462,0.012021479795904275
0.70673907,0.012179657643543501
0.70404547,0.012337836000939692
0.70133281,0.012496014698600249
0.6985628,0.01265419293450452
0.69592649,0.012812370579223237
0.693443,0.012970548813989997
0.69074941,0.013128726652605626
0.68822777,0.01328690459880325
0.68559146,0.013445082414234711
0.68331814,0.013603260106295421
0.68073916,0.013761437847388674
0.67837036,0.013919615850821148
0.67600149,0.014077793934321174
0.67363268,0.014235972225421825
0.67126381,0.014394150665283968
0.66912425,0.014552328265162687
0.66679358,0.014710505773498342
0.66448206,0.014868683191938528
0.66232336,0.015026860776238398
0.65999275,0.015185038513062464
0.65785313,0.015343217066698394
0.65565622,0.015501395117295445
0.65340203,0.015659573519733995
0.65128154,0.015817751925229186
0.64914191,0.015975930398890666
0.64698321,0.016134108551826738
0.64484364,0.016292286232684826
0.64274222,0.01645046378652803
0.64077461,0.016608641234071346
0.63869232,0.016766818786419165
0.6365909,0.01692499635175061
0.63462323,0.017083173602697465
0.63257915,0.01724135060974577
0.63057327,0.01739952793135455
0.62851012,0.017557706115504314
0.62663794,0.017715883897380304
0.6246894,0.01787406226963471
0.62270266,0.018032240529792687
0.62073499,0.01819041874709848
0.6188246,0.018348596227724615
0.61687607,0.01850677383902178
0.61509943,0.018664951582448915
0.61324638,0.018823129479770242
0.61135513,0.018981307316019616
0.60954028,0.019139485101531142
0.60761082,0.019297663192983042
0.60568136,0.01945584070336035
0.6039812,0.019614018568541194
0.60201353,0.01977219594353264
0.60029417,0.019930373812789344
0.59846026,0.020088551195803127
0.59672183,0.020246728609038606
