Ewe/V,Capacity/mA.h
8.64E-02,0.965282917
8.66E-02,0.965141206
8.65E-02,0.964999491
8.66E-02,0.964857774
8.67E-02,0.964716057
8.68E-02,0.96457434
8.69E-02,0.964432624
8.68E-02,0.964290906
8.69E-02,0.964149193
8.70E-02,0.964007481
8.71E-02,0.963865768
8.72E-02,0.963724053
8.72E-02,0.963582338
8.73E-02,0.963440624
8.74E-02,0.963298909
8.75E-02,0.963157194
8.74E-02,0.963015479
8.74E-02,0.962873771
8.76E-02,0.96273206
8.76E-02,0.962590347
8.76E-02,0.962448633
8.76E-02,0.962306921
8.77E-02,0.962165209
8.79E-02,0.962023492
8.78E-02,0.961881776
8.79E-02,0.961740062
8.79E-02,0.961598348
8.81E-02,0.961456633
8.80E-02,0.961314917
8.81E-02,0.961173198
8.81E-02,0.961031483
8.81E-02,0.960889768
8.82E-02,0.960748055
8.81E-02,0.960606339
8.84E-02,0.960464626
8.83E-02,0.96032291
8.85E-02,0.960181193
8.84E-02,0.960039476
8.85E-02,0.95989776
8.85E-02,0.959756044
8.86E-02,0.959614329
8.87E-02,0.959472613
8.87E-02,0.959330898
8.87E-02,0.959189183
8.88E-02,0.959047465
8.89E-02,0.958905746
8.90E-02,0.958764025
8.90E-02,0.958622304
8.90E-02,0.958480583
8.90E-02,0.958338865
8.90E-02,0.95819715
8.91E-02,0.958055435
8.92E-02,0.957913719
8.93E-02,0.957772001
8.92E-02,0.957630282
8.93E-02,0.957488562
8.94E-02,0.957346849
8.92E-02,0.957205137
8.94E-02,0.957063423
8.95E-02,0.956921709
8.94E-02,0.956779998
8.95E-02,0.956638284
8.95E-02,0.95649657
8.96E-02,0.956354852
8.95E-02,0.956213132
8.97E-02,0.956071413
8.96E-02,0.955929695
8.97E-02,0.955787976
8.97E-02,0.955646257
8.98E-02,0.955504541
8.98E-02,0.955362827
8.99E-02,0.955221114
8.99E-02,0.955079397
9.01E-02,0.954937683
8.99E-02,0.954795969
9.00E-02,0.954654251
9.00E-02,0.954512535
9.01E-02,0.954370818
9.01E-02,0.954229101
9.02E-02,0.954087383
9.02E-02,0.953945665
9.04E-02,0.953803946
9.02E-02,0.95366223
9.03E-02,0.953520512
9.04E-02,0.953378796
9.04E-02,0.953237076
9.03E-02,0.953095359
9.04E-02,0.952953639
9.05E-02,0.952811921
9.05E-02,0.952670208
9.05E-02,0.952528493
9.06E-02,0.952386777
9.06E-02,0.952245059
9.06E-02,0.952103343
9.06E-02,0.951961626
9.06E-02,0.95181991
9.07E-02,0.951678197
9.07E-02,0.951536485
9.08E-02,0.951394776
9.08E-02,0.951253063
9.08E-02,0.951111349
9.08E-02,0.950969636
9.08E-02,0.950827921
9.07E-02,0.950686205
9.08E-02,0.950544493
9.10E-02,0.950402778
9.10E-02,0.950261068
9.11E-02,0.950119357
9.10E-02,0.949977641
9.11E-02,0.949835924
9.11E-02,0.949694205
9.11E-02,0.949552489
9.10E-02,0.949410773
9.11E-02,0.949269058
9.11E-02,0.949127344
9.11E-02,0.948985632
9.12E-02,0.948843922
9.11E-02,0.948702207
9.13E-02,0.948560491
9.13E-02,0.948418776
9.13E-02,0.94827706
9.13E-02,0.948135345
9.13E-02,0.947993629
9.15E-02,0.947851916
9.14E-02,0.947710202
9.15E-02,0.947568486
9.14E-02,0.947426767
9.15E-02,0.947285049
9.15E-02,0.947143331
9.15E-02,0.947001612
9.16E-02,0.946859895
9.15E-02,0.946718181
9.16E-02,0.946576465
9.17E-02,0.946434751
9.16E-02,0.946293035
9.15E-02,0.946151319
9.17E-02,0.946009604
9.17E-02,0.945867891
9.18E-02,0.945726177
9.17E-02,0.945584463
9.19E-02,0.945442747
9.18E-02,0.945301031
9.18E-02,0.945159316
9.18E-02,0.945017609
9.19E-02,0.944875894
9.19E-02,0.944734178
9.19E-02,0.944592459
9.19E-02,0.944450743
9.19E-02,0.944309025
9.19E-02,0.944167307
9.19E-02,0.94402559
9.19E-02,0.943883876
9.20E-02,0.943742162
9.21E-02,0.943600448
9.20E-02,0.943458732
9.19E-02,0.943317016
9.20E-02,0.943175304
9.20E-02,0.943033587
9.22E-02,0.94289187
9.21E-02,0.942750152
9.20E-02,0.942608438
9.21E-02,0.942466727
9.20E-02,0.942325012
9.22E-02,0.942183297
